Date,Currency,Rate
2024-01-02,AED,351.07
2024-01-02,CNH,180.84
2024-01-02,EUR,1423.63
2024-01-02,JPY(100),915.6
2024-01-02,USD,1289.4
2024-01-03,AED,353.77
2024-01-03,CNH,182.63
2024-01-03,EUR,1421.82
2024-01-03,JPY(100),914.55
2024-01-03,USD,1299.3
2024-01-04,AED,356.35
2024-01-04,CNH,183.19
2024-01-04,EUR,1429.86
2024-01-04,JPY(100),914.76
2024-01-04,USD,1308.8
2024-01-05,AED,356.74
2024-01-05,CNH,182.94
2024-01-05,EUR,1434.28
2024-01-05,JPY(100),905.68
2024-01-05,USD,1310.2
2024-01-08,AED,357.67
2024-01-08,CNH,183
2024-01-08,EUR,1437.19
2024-01-08,JPY(100),907.47
2024-01-08,USD,1313.7
2024-01-09,AED,357.97
2024-01-09,CNH,183.47
2024-01-09,EUR,1439.84
2024-01-09,JPY(100),912.14
2024-01-09,USD,1314.8
2024-01-10,AED,357.25
2024-01-10,CNH,182.96
2024-01-10,EUR,1434.32
2024-01-10,JPY(100),908.94
2024-01-10,USD,1312.1
2024-01-11,AED,359.42
2024-01-11,CNH,183.83
2024-01-11,EUR,1448.55
2024-01-11,JPY(100),906.6
2024-01-11,USD,1320.1
2024-01-12,AED,358.3
2024-01-12,CNH,183.51
2024-01-12,EUR,1444.11
2024-01-12,JPY(100),906.24
2024-01-12,USD,1316
2024-01-15,AED,357.77
2024-01-15,CNH,183.35
2024-01-15,EUR,1438.55
2024-01-15,JPY(100),906.03
2024-01-15,USD,1314.1
2024-01-16,AED,359.2
2024-01-16,CNH,183.63
2024-01-16,EUR,1444.44
2024-01-16,JPY(100),905.09
2024-01-16,USD,1319.3
2024-01-17,AED,361.84
2024-01-17,CNH,184.7
2024-01-17,EUR,1445.69
2024-01-17,JPY(100),903.22
2024-01-17,USD,1329
2024-01-18,AED,365.71
2024-01-18,CNH,186.19
2024-01-18,EUR,1461.67
2024-01-18,JPY(100),906.74
2024-01-18,USD,1343.2
2024-01-19,AED,365.48
2024-01-19,CNH,186.06
2024-01-19,EUR,1460.26
2024-01-19,JPY(100),906.57
2024-01-19,USD,1342.4
2024-01-22,AED,363.87
2024-01-22,CNH,185.35
2024-01-22,EUR,1456.25
2024-01-22,JPY(100),901.91
2024-01-22,USD,1336.5
2024-01-23,AED,363.38
2024-01-23,CNH,185.11
2024-01-23,EUR,1452.35
2024-01-23,JPY(100),901.52
2024-01-23,USD,1334.7
2024-01-24,AED,363.74
2024-01-24,CNH,186
2024-01-24,EUR,1450.63
2024-01-24,JPY(100),900.82
2024-01-24,USD,1336
2024-01-25,AED,364.58
2024-01-25,CNH,186.65
2024-01-25,EUR,1457.61
2024-01-25,JPY(100),907.34
2024-01-25,USD,1339.1
2024-01-26,AED,363.66
2024-01-26,CNH,186.45
2024-01-26,EUR,1448.43
2024-01-26,JPY(100),905.04
2024-01-26,USD,1335.7
2024-01-29,AED,363.9
2024-01-29,CNH,186.12
2024-01-29,EUR,1449.34
2024-01-29,JPY(100),902.62
2024-01-29,USD,1336.6
2024-01-30,AED,363.99
2024-01-30,CNH,185.85
2024-01-30,EUR,1448.73
2024-01-30,JPY(100),906.74
2024-01-30,USD,1336.9
2024-01-31,AED,362.28
2024-01-31,CNH,185.15
2024-01-31,EUR,1443.1
2024-01-31,JPY(100),901.89
2024-01-31,USD,1330.6
2024-02-01,AED,363.06
2024-02-01,CNH,185.63
2024-02-01,EUR,1442.11
2024-02-01,JPY(100),908.19
2024-02-01,USD,1333.5
2024-02-02,AED,362.78
2024-02-02,CNH,185.21
2024-02-02,EUR,1449.23
2024-02-02,JPY(100),910.24
2024-02-02,USD,1332.5
2024-02-05,AED,360.77
2024-02-05,CNH,184.48
2024-02-05,EUR,1427.53
2024-02-05,JPY(100),892.23
2024-02-05,USD,1325.1
2024-02-06,AED,363.36
2024-02-06,CNH,185.18
2024-02-06,EUR,1433.76
2024-02-06,JPY(100),897.75
2024-02-06,USD,1334.6
2024-02-07,AED,361.99
2024-02-07,CNH,184.51
2024-02-07,EUR,1430.12
2024-02-07,JPY(100),899.65
2024-02-07,USD,1329.6
2024-02-08,AED,360.82
2024-02-08,CNH,184.13
2024-02-08,EUR,1427.94
2024-02-08,JPY(100),895.2
2024-02-08,USD,1325.3
2024-02-13,AED,361.35
2024-02-13,CNH,184.2
2024-02-13,EUR,1429.66
2024-02-13,JPY(100),888.8
2024-02-13,USD,1327.2
2024-02-14,AED,361.67
2024-02-14,CNH,183.93
2024-02-14,EUR,1422.78
2024-02-14,JPY(100),882.04
2024-02-14,USD,1328.4
2024-02-15,AED,363.98
2024-02-15,CNH,185.09
2024-02-15,EUR,1434.49
2024-02-15,JPY(100),888.48
2024-02-15,USD,1336.9
2024-02-16,AED,362.97
2024-02-16,CNH,184.49
2024-02-16,EUR,1436.59
2024-02-16,JPY(100),889.48
2024-02-16,USD,1333.2
2024-02-19,AED,362.94
2024-02-19,CNH,184.64
2024-02-19,EUR,1436.71
2024-02-19,JPY(100),888.05
2024-02-19,USD,1333
2024-02-20,AED,363.15
2024-02-20,CNH,185.07
2024-02-20,EUR,1437.57
2024-02-20,JPY(100),888.37
2024-02-20,USD,1333.8
2024-02-21,AED,364.26
2024-02-21,CNH,185.63
2024-02-21,EUR,1446
2024-02-21,JPY(100),892.2
2024-02-21,USD,1337.9
2024-02-22,AED,363.46
2024-02-22,CNH,185.65
2024-02-22,EUR,1444.8
2024-02-22,JPY(100),888.08
2024-02-22,USD,1335
2024-02-23,AED,362.37
2024-02-23,CNH,184.99
2024-02-23,EUR,1440.74
2024-02-23,JPY(100),884.53
2024-02-23,USD,1331
2024-02-26,AED,361.91
2024-02-26,CNH,184.52
2024-02-26,EUR,1438.57
2024-02-26,JPY(100),883.11
2024-02-26,USD,1329.3
2024-02-27,AED,362.49
2024-02-27,CNH,184.76
2024-02-27,EUR,1444.7
2024-02-27,JPY(100),883.57
2024-02-27,USD,1331.4
2024-02-28,AED,362.46
2024-02-28,CNH,184.67
2024-02-28,EUR,1443.73
2024-02-28,JPY(100),884.73
2024-02-28,USD,1331.3
2024-02-29,AED,363.2
2024-02-29,CNH,184.86
2024-02-29,EUR,1445.92
2024-02-29,JPY(100),885.76
2024-02-29,USD,1334
2024-03-04,AED,363.22
2024-03-04,CNH,185.12
2024-03-04,EUR,1446.56
2024-03-04,JPY(100),888.66
2024-03-04,USD,1334.1
2024-03-05,AED,362.14
2024-03-05,CNH,184.55
2024-03-05,EUR,1444.22
2024-03-05,JPY(100),884.2
2024-03-05,USD,1330.1
2024-03-06,AED,362.97
2024-03-06,CNH,185.08
2024-03-06,EUR,1447.52
2024-03-06,JPY(100),889.57
2024-03-06,USD,1333.2
2024-03-07,AED,363.65
2024-03-07,CNH,185.32
2024-03-07,EUR,1456.05
2024-03-07,JPY(100),894.61
2024-03-07,USD,1335.7
2024-03-08,AED,362
2024-03-08,CNH,184.5
2024-03-08,EUR,1455.71
2024-03-08,JPY(100),898.89
2024-03-08,USD,1329.6
2024-03-11,AED,360.22
2024-03-11,CNH,183.86
2024-03-11,EUR,1447.34
2024-03-11,JPY(100),900.47
2024-03-11,USD,1323.1
2024-03-12,AED,357.85
2024-03-12,CNH,182.69
2024-03-12,EUR,1436.05
2024-03-12,JPY(100),894.73
2024-03-12,USD,1314.4
2024-03-13,AED,356.97
2024-03-13,CNH,182.63
2024-03-13,EUR,1432.9
2024-03-13,JPY(100),888.55
2024-03-13,USD,1311.1
2024-03-14,AED,357.43
2024-03-14,CNH,182.53
2024-03-14,EUR,1437.45
2024-03-14,JPY(100),889.1
2024-03-14,USD,1312.8
2024-03-15,AED,358.58
2024-03-15,CNH,183.04
2024-03-15,EUR,1433.25
2024-03-15,JPY(100),888.12
2024-03-15,USD,1316.9
2024-03-18,AED,361.7
2024-03-18,CNH,184.32
